address,ins,outs,inAmount,outAmount,timeBetween,isContract,sybil
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,21,0,24.04,914917,1,0
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0,3,0,0.13,160174,1,0
0x5470d6fa78462588fe3f5cd830fb4fa5ba6f87e7,0,1,0,0.3,0,0,0
0xb986fc8bac9e264c7388e5ec45c8a2f094cbf9f1,1,2,0.003,0.012,7266038,0,1
0x3bf447963c8d8bdf06751528de40efb0849f3037,0,1,0,0.049,0,0,1
0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0,3,0,0.387,244707,1,1
0xdec41db0c33f3f6f3cb615449c311ba22d418a8d,0,2,0,0,397,0,1
0x610aebd620437b4b4e88801abd0c8ba0d009df5c,0,5,0,0,2932188,1,0
0xabea9132b05a70803a4e85094fd0e1800777fbef,0,2,0,2.476,12233,1,0
0x0000000035634b55f3d99b071b5a354f48e10bef,0,1,0,0.423,0,0,1
0xf726dc178d1a4d9292a8d63f01e0fa0a1235e65c,1,0,1.68,0,0,0,1
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1,0,0.143,0,0,0,1
0x3c979fb790c86e361738ed17588c1e8b4c4cc49a,1,0,58.68,0,0,0,0
0x7d655c57f71464b6f83811c55d84009cd9f5221c,0,10,0,0.005,10781,1,1
0xa7efae728d2936e78bda97dc267687568dd593f3,1,0,0.396,0,0,0,0
0xa3b61c077da9da080d22a4ce24f9fd5f139634ca,0,1,0,0,0,0,1
0xab233e67eed80d103f051126ad6d8c93d9f521a2,2,1,0.5,1.7,522234,0,1
0x881d40237659c251811cec9c364ef91dc08d300c,0,4,0,1.3,1732294,1,0
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0,5,0,0.1,959644,1,1
0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0,1,0,0.18,0,1,1
0x1b46a4b50c7ee6b50e5c57458db3736511e9e48f,0,2,0,0,1219,0,1
0xdac17f958d2ee523a2206206994597c13d831ec7,0,2,0,0,8615,1,0
0x11e3442f85cc928fc9594f2865dea804a0e324d9,0,1,0,0,0,0,1
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0,1,0,0,0,1,0
0x70d841fa16d8cad638beff560ec442c25f293ce8,0,1,0,0,0,0,1
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0,1,0,0.025,0,1,0
0x2730f03de7a254709a1f8bd195c6d9179a553399,1,1,0.014,0.028,11571,0,0
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,6,0,0,566,0,0
0xc615b5caa8f8fe5ea2913c2d8630918faed6565f,1,0,1.511,0,0,0,0
0x1824df8d751704fa10fa371d62a37f9b8772ab90,0,1,0,0,0,0,0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,1,0,0,0,1,1
0xc102d2544a7029f7ba04beb133deadaa57fdf6b4,0,1,0,0.000,0,0,1
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,4,0,0,13425,0,1
0x7d655c57f71464b6f83811c55d84009cd9f5221c,0,1,0,0.012,0,1,0
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0,2,0,0,1556511,1,0
0x27e9f4748a2eb776be193a1f7dec2bb6daafe9cf,1,0,0.972,0,0,0,1
0x0310d51099e767c737720b3a03cbfe2df590560d,0,4,0,0,1602053,0,1
0xc102d2544a7029f7ba04beb133deadaa57fdf6b4,0,1,0,0.000,0,0,1
0x9696f59e4d72e237be84ffd425dcad154bf96976,1,0,0.110,0,0,0,1
0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7,0,1,0,0,0,1,1
0x079a892628ebf28d0ed8f00151cff225a093dc63,1,0,0.071,0,0,0,0
0x5a98fcbea516cf06857215779fd812ca3bef1b32,0,1,0,0,0,1,1
0xd0be9fa26d801fde439ce47c62a1b0740ed7df53,0,1,0,0.04,0,0,1
0x76de271deb865343a458a3f1e08534a3f5b42843,0,1,0,0,0,0,1
0xe592427a0aece92de3edee1f18e0157c05861564,0,2,0,0.086,7259156,1,0
0xc102d2544a7029f7ba04beb133deadaa57fdf6b4,0,1,0,1e-05,0,0,1
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,1,0,0.075,0,0,0,1
0xcb4336d9aa2027f563437b721b34c56a3e7a23f4,0,4,0,0,938,0,0
0xb6819e96442a851b82f7acb6a25d534c207abb8f,0,3,0,0.4,257389,0,1
0x41e3d4b3a79e464f65fffe18aa063de983ef97de,0,1,0,0,0,0,1
0x084b1c3c81545d370f3634392de611caabff8148,0,1,0,0,0,1,1
0x633b7218644b83d57d90e7299039ebab19698e9c,0,1,0,0.000,0,0,1
0x084b1c3c81545d370f3634392de611caabff8148,0,1,0,0,0,1,1
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0,1,0,0.001,0,1,1
0x28c6c06298d514db089934071355e5743bf21d60,1,0,0.036,0,0,0,1
0x28c6c06298d514db089934071355e5743bf21d60,1,0,2.495,0,0,0,1
0xc3e364aeb4dd8acfee2a43cb9bd7f4f0fdde6576,0,1,0,0.02,0,0,1
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,1,0,0.593,0,0,0,1
0xc4ba776409b47246393f6dcfc6a1092fc24fb6a2,1,0,0.05,0,0,0,1
0xc36442b4a4522e871399cd717abdd847ab11fe88,0,1,0,3.402,0,1,1
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1,0,0.061,0,0,0,1
